ts,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
2023-02-20 03:10:53,-8.531211230654726,-0.08601848958895647,-4.98020162251401,-0.008339677286422405,0.6274926748900048,-0.09104028898907345,0.1418757448260211,0.17125128230212008,1.6315235166406055,0.05253614072818568,1.0283909051184414,-0.17979396084148014,-0.4865230924728985
2023-02-20 03:10:54,-8.522943966699843,-0.09639059521246435,-4.999871346550445,-0.0824294875952461,0.6267115783282804,-0.09358865038023145,0.07415864972209268,0.16138977859648984,1.6587576814984333,0.005255548934401485,1.0214542343205593,-0.15670276408588124,-0.4848330113319841
2023-02-20 03:10:55,-8.522059854900123,-0.05360356950678396,-5.0027483333477365,-0.0359751770021775,0.6215890207978737,-0.08329425155863496,0.08132108269670996,0.18200199374500123,1.636772753482759,0.12467569601803206,1.06712111039215,-0.16146333415259473,-0.46553616836463807
2023-02-20 03:10:56,-8.528810758020505,-0.08633103975962675,-4.9771729331096894,0.04542733874711912,0.6083908644418828,-0.0806236152715457,0.06878989965459584,0.20781346895042183,1.636935695790933,0.1122281898743929,1.0117288766902024,-0.072515804948139,-0.49469201192919965
2023-02-20 03:10:57,-8.521879790133776,-0.06913179155601057,-4.863265657080578,-0.14125750713390958,0.5822896378714797,-0.08864413629859882,0.09292101524994453,0.11967306576838088,1.6025207112928797,0.04850800256842004,1.0679496295508308,-0.07094689824297694,-0.5058795801962508
2023-02-20 03:10:58,-8.517984924726589,-0.04182700234462155,-4.9429102147943205,-0.09511150708650323,0.5936525484117038,-0.08501762163796209,0.12311198821741307,0.1700684579171522,1.6219176670456323,0.00534080760124372,1.063779557806851,-0.10332482352277735,-0.4604129852273373
2023-02-20 03:10:59,-8.524936949497402,-0.07780298539435238,-4.880350267144483,-0.11600378423283199,0.5765719768913234,-0.07819021112411963,0.08499436502512482,0.16665276740286122,1.6086890553547184,0.06748550826093763,1.061706577811243,-0.05348865441011773,-0.5031613853858431
2023-02-20 03:11:00,-8.501849987777355,-0.045696463625959687,-4.883702181031025,-0.004762773690249242,0.5709563956047197,-0.06882854817156848,0.12827097700127477,0.19116029015652133,1.5997373568042388,0.12833817720434718,1.044734578889265,-0.05370749047775979,-0.4830931799396387
2023-02-20 03:11:01,-8.494564210903002,-0.03161047949287565,-4.846158843194075,-0.09055671037862871,0.5634562742204406,-0.08285023198845065,0.11967585023085127,0.16137231400126395,1.6055454686215147,-0.004683858330575005,1.0920550517046383,0.02324161849343023,-0.5039786032318901
2023-02-20 03:11:02,-8.50683009872798,-0.066978141231259,-4.837914716657771,0.029209204395394227,0.5496271754747865,-0.08945134348765317,0.08598381910926094,0.13252914499482762,1.6123498309499051,0.07536334278404913,1.0537326305322339,0.013555586893015191,-0.5156368529798437
2023-02-20 03:11:03,-8.505680979495697,-0.023717729103253534,-4.789351502848812,-0.12457475596191785,0.5473494051269446,-0.05732723528318259,0.11416713515314462,0.19298230968913338,1.593582365548778,0.18244602498492954,1.0602076110930532,0.09130145097483802,-0.4728658351059251
2023-02-20 03:11:04,-8.483135449012083,-0.07771159727467813,-4.835912862685245,0.14147767259236038,0.5332629543100803,-0.1259828826196977,0.051477518468735606,0.02436797377139073,1.6360027607616652,-0.08006709168199354,1.100547039063038,0.11747948522537624,-0.5431586763287869
2023-02-20 03:11:05,-8.452692074995397,-0.04402820642068011,-4.722839022760051,-0.11554921058769875,0.521706179558459,-0.0919723525918674,0.07324963118087015,0.09598194122335536,1.606163376831968,0.07955202773458106,1.095937968288797,0.13376473585939486,-0.5161602809518397
